"","RRN-SKG2-p1-65","RRN-SKG2-p1-66","RRN-SKG2-p1-67","RRN-SKG2-p1-68","RRN-SKG2-p1-69","RRN-SKG2-p1-70","RRN-SKG2-p1-71","RRN-SKG2-p1-72"
"61f50ba1b6017e968d69db3062972957",0,0,0,0,54,25,0,0
"280a5152b14cfc86c66c4523aa6381a6",0,0,0,135,0,107,94,12
"6f03298d0194c6975872245635e258ed",64,32,0,0,118,0,0,0
"7669497333aa7e7597417f1e906e3fa0",11,25,247,0,59,0,0,0
"c3f4d4259802b6cd0b22835226c1cbee",0,0,0,220,0,0,95,75
"a0568b87af47b555eaf1fcd9add1d286",0,0,0,0,0,0,0,0
"6db1ecacf0a9069bdc3769d566e6bc14",28,16,51,11,25,10,43,16
"545b120f25545515643b35984b099408",0,0,0,0,0,0,0,0
"a6fb0cbabe0b67b00a8eb4a77fa000ae",0,0,77,0,0,0,23,34
"2bad3c63e6f2fd15b310a45bc6e577ec",0,24,120,0,19,0,0,11
"5b5a7c22bfeb0dbcb9acc7cfbba03973",34,21,36,0,37,18,44,90
"ebf26488d3ecdfa510a229e6264b919e",41,0,54,46,89,0,0,41
"68035777788ea6e748bc3260dbafda27",0,0,0,0,0,0,0,0
"3906dd03f2b0949bc29600f84d0aacee",0,0,0,0,0,30,96,32
"f047a452cbefe36e5387436bbaefe060",0,0,0,0,0,36,0,0
"0af9830f7b7716de44f5359bc1ae3c9c",0,61,0,0,0,0,0,0
"ff6e972146409510840335e9d80443bf",0,0,0,0,0,0,0,0
"e452ae0652b0c229e17859f036df47c3",0,66,0,0,92,0,0,0
"a51067ad2cca1510c3d92753dafdcd26",0,0,0,0,0,0,0,0
"d412f2ebfc79a7a0712ca6752e1ca61b",0,0,0,0,0,0,0,0
"c186cfa9a4208738fc0f205ed23aeab7",0,0,172,0,0,0,174,0
"3f6c62a018f99ca18306bf8ba48abb2b",22,0,34,10,43,0,10,9
"3dfe193b1e846e30942fb86736b6b01d",39,0,14,28,0,0,46,21
"ff273b46e04c7f4fc633ef2796f8078f",0,26,182,0,0,0,0,0
"079d925c0948d498f5800e37f48a8edd",0,0,68,14,18,0,142,70
"9c43f828afa88e219bca73090fe9ae98",61,13,0,0,86,8,0,0
"d708edaa2dc4edab202eaf86e9f7b942",17,0,0,0,20,9,193,0
"759128bbc80be1287e3c60023d11d097",23,20,19,4,85,6,22,45
"45063994e70871d6d2e0c25bb1a09dfe",0,0,0,75,93,0,0,0
"de27203d3c4e9588d0d47ab4aad87c91",0,0,0,0,0,0,0,0
"0bdf850971f7e6a1d0b32b9cd450cbe7",0,0,0,0,0,0,0,0
"b40c1e76a7341d5491cc688b635f2250",0,0,0,0,0,0,0,0
"fe1676b5ba6b0c898b18888a46606766",17,23,14,0,293,0,0,0
"ca02f928beef8c3a085931a4c0e69e36",0,0,34,13,0,0,0,97
"07787e737d44760201efbd113f60847e",0,0,48,0,0,0,24,245
"b2df9d4c51c8ef09886ad11690f85b1e",0,0,0,3,0,0,7,169
"825f598de4a219bfba08a08d52aa8047",0,0,0,0,0,0,0,0
"afaed5b814af8fdf712ee3a2f6e146ea",0,0,0,0,0,0,0,0
"915723a740899da0254402f39cd5c7c6",0,0,0,0,0,0,0,0
"e0c7981d732072d76543cc1d74830390",0,67,0,62,72,59,82,41
"f75fddf186b132b610538f91b4a346e9",0,0,0,0,0,0,0,0
"da12d3e2cff9cb8f6a4a1ebe95a6f0df",0,0,0,0,0,0,0,0
"1074f9ed7b28b8b17fc96f9714173a9c",8,13,47,5,60,11,28,28
"d254c6664252f2086b4f33679e0eaa52",15,8,4,102,0,16,14,19
"3787a1d743ae57779baa99e0f18d02b7",0,0,156,0,43,0,0,0
"0a563032723c099422d27aafe3f66d61",0,0,0,0,0,0,0,0
"ff6a1a59ac7ce80d358b3a2a60112c35",62,0,0,35,37,0,0,41
"db66ab43add889efc6f36d999d74bd9f",0,0,0,0,0,24,15,0
"22a17749bbb110aef9e907aa03b4b7c8",63,0,0,0,0,0,0,0
"3ec12e930982c085613a2ae0c86b1e87",17,19,95,0,74,0,0,7
"d30a5ea4873ba38585373d4ce4fe66bb",0,0,0,110,0,0,0,0
"4080fc5501b77fa7027f0f557efe0fab",72,7,9,86,12,12,14,10
"fd099b9f482cb8e4e288e24954aa6e87",0,0,0,0,0,0,0,0
"4afcf81be0dd3de6b438c502f475e6f0",12,0,0,27,0,18,0,0
"1d25d87a68cf428819cda7e7f9aeb013",0,0,0,0,26,0,0,0
"7488af1936f72057588707fd370a0cc1",29,16,52,5,33,4,15,27
"4f72566263aebf3aa0d2f7364a25acb6",0,0,0,0,0,0,0,45
"a6970116ae8283f69ee96e0a71204966",0,0,0,0,0,0,0,0
"c0bd434fcd462b91ff5b1226c98d9a78",0,0,59,104,0,0,0,0
"edfb2b04eb51bbdec15487ab4575ebbc",33,0,25,7,0,0,23,47
"e776abb839c8e7bc4f58a5687e6a9957",20,17,12,11,6,10,11,11
"802af93433e3f4f5a6e0a9714c0159fb",0,0,0,0,28,8,0,0
"78714391fb474bfea2aa5f23f631b43c",0,0,0,0,0,0,0,0
"9a52a871ff3ac06a2228bda5cc8515b3",0,18,0,0,21,0,0,0
"b00cbeb9749795e579bd50e157146f0d",0,0,63,6,104,0,0,10
"9b0cde19c4d9fff4ddd44785f84d7cb7",12,0,0,0,217,85,0,0
"8a88f51fbbd1cf4036edce693eabc86a",0,0,103,4,0,0,15,42
"bb29f4fff8f958da41c54e68598cec17",0,0,0,0,0,0,0,0
"ae4647a100f59182c75b14b3919a4e16",0,0,81,0,40,6,25,11
"e4a9e9c32be30b9b1521b127c00e10b8",64,24,0,0,0,0,0,0
"81b1f902427151307c21d028a08754eb",251,0,0,7,0,5,0,0
"2266592eee2c0c8697e69e52a56c34bc",23,8,48,0,42,0,16,15
"2b0d2ad47c63e2a71c6d9a6a62fb69b5",0,0,64,105,0,0,0,28
"e425d30a54d6396b9ab3d17c5179a895",9,18,16,0,53,0,21,13
"5679e5287911c0694f8809a87fc05a99",0,0,0,0,0,9,0,0
"ef8efbfe5760ccc4123ac912c970f33b",0,0,274,0,0,0,0,0
"35d2f8b8ad9de9444aa1b7e640222502",0,0,10,5,0,8,0,8
"ee36824cd8ad5db2f54f604848c720a0",0,0,0,0,0,0,0,0
"cbb40ac3f0968d38da239a336e8eb8bd",39,13,19,11,0,0,20,0
"2fe3737deb27fa6fa2d650112df1778e",0,0,0,0,0,0,0,0
"d0155336ffa7f129ad6963c67f7036fb",16,14,0,10,0,0,0,21
"0d7f319df9285fae6a0f013bd1164bbd",0,0,0,0,0,0,65,124
"e3e8c8f2a808212211a492a44f04ae35",0,9,0,0,85,0,0,16
"7b7f3706e2803ced3a3eddfa7887e7dc",0,0,0,0,0,0,0,0
"5631b302b57ede8896a3fa736f20f29d",0,0,157,0,0,20,80,29
"46c74fd47e38ddd5c5af4546cb252178",58,10,0,0,0,0,0,0
"aa94acc7a25ce926e6bcd07cb04e493c",0,0,0,0,0,0,0,0
"7af67be0d9ed7f787e7119a047559d23",0,0,0,0,0,0,0,0
"ebdb83c3ce6ffb9baa5d797041283e86",0,0,0,36,0,0,0,0
"4603e865f03405f110107a2a0778898a",0,0,0,0,0,0,0,0
"1e2ea84eb26311326d2d090787fcb40c",0,0,0,0,0,0,0,0
"989fd0a6528155676a5d5d01e80b383f",0,0,0,0,0,0,0,0
"083df9ad87247751a70a15c82f7faab2",0,0,0,0,0,0,0,0
"d2399f4a8036e57f6eeb8f0f69215562",0,0,0,0,0,0,61,47
"3f539434775a56620993cbccf2d98e16",0,0,0,45,0,15,25,11
"1f98b5d48154d1ce984cfc66a8b65a6e",0,0,0,0,0,0,0,0
"058109e0b5a4f748549464e140bc7b16",0,0,16,17,11,6,34,24
"e70657609eb4ae57afe360e5ec01314c",31,0,0,0,37,0,20,5
"56822ebe4fd950418402cf55ebb52dc1",0,0,37,14,24,0,8,10
"b124cc19f9c82428804b0d52b3b05d6c",6,0,6,0,60,0,17,0
"7770443d2c73db3247219f44c85330b6",0,54,0,0,42,6,0,0
"c0eccae8e154d13aa82e92653066d42e",0,0,0,0,79,10,0,74
"abf7d8f150084733736307be0ce95c30",0,0,0,0,48,0,19,9
"fd01e2ab403d86b6ab318eea174666c0",0,32,0,0,63,0,0,0
"9af0ba27f1dfd382f8156894006a1591",0,0,33,0,0,0,0,0
"3b5ef8d8e098d1ec651f59de56e924bd",0,23,0,0,32,17,0,0
"876d6d3a6f1a901fd248afda52f3cc01",0,0,0,0,0,0,0,0
"0c41a8de0ffcb34539d5c8b6a7bd4fa6",0,0,12,0,0,0,0,0
"5eb00136b8c688e7c3dd88c3de9ef157",0,0,0,0,0,0,0,0
"cf4bdc4ed70536c33813e1ef8afaa346",0,0,0,0,0,122,0,45
"10b16fe701dd82828f082f7a5d8d24fa",26,0,45,0,0,0,41,0
"5e13009375da5cfa8f05fc40e9712165",6,0,0,0,0,0,0,0
"2e2272c7c1bb95fdfdb3a6cc8bb0898e",14,12,11,0,29,0,11,23
"5d4ff78b9dc0360d80817894db22ee56",0,13,46,0,0,7,0,15
"7c60bd2ffe3eed870549edc57875acf8",0,0,0,0,0,0,0,0
"7e5a3748e1049fcab7a33644f081f624",0,0,0,0,0,0,0,0
"44f4ecbfe2d833590e6ecd011ed61ca5",59,0,0,0,0,0,12,0
"264d967e6d61a657b841b0165db6464d",20,5,28,0,30,2,9,7
"9f6fd195b93d2d40e2903b6d863677ac",0,0,0,0,0,0,0,0
